year,births
2026,134501084.8
2027,133761428.7
2028,133084045.0
2029,132373828.8
2030,131656259.6
2031,130940730.6
2032,130270634.8
2033,129650911.7
2034,129059801.4
2035,128485685.3
2036,127908774.8
2037,127345061.4
2038,126728225.5
2039,126122233.2
2040,125520013.1
2041,124907769.2
2042,124273060.1
2043,123554264.6
2044,122791045.5
2045,121992162.5
2046,121165181.8
2047,120307283.4
2048,119465046.2
2049,118591423.8
2050,117695552.0
2051,116796088.5
2052,115886809.5
2053,114995829.6
2054,114087306.7
2055,113170395.3
2056,112261396.6
2057,111357436.7
2058,110473793.4
2059,109591938.8
2060,108715610.7
2061,107846359.1
2062,106990387.3
2063,106150914.9
2064,105314449.5
2065,104485740.8
2066,103661450.8
2067,102850090.4
2068,102043918.0
2069,101237670.4
2070,100433023.9
2071,99625913.79
2072,98817233.4
2073,98008101.58
2074,97199884.59
2075,96402663.9
2076,95609781.87
2077,94823146.5
2078,94041099.04
2079,93268054.69
2080,92508525.76
2081,91757145.15
2082,91017702.39
2083,90288107.91
2084,89568426.92
2085,88855511.64
2086,88150909.57
2087,87457437.53
2088,86773863.34
2089,86100191.11
2090,85431070.24
2091,84777012.45
2092,84135458.44
2093,83507342.72
2094,82892167.22
2095,82283212.01
2096,81680572.88
2097,81078827.01
2098,80474582.46
2099,79873605.19
2100,79276852.32
