year,births
2026,129565087.52600002
2027,129570243.93200001
2028,129575400.33800001
2029,129580556.744
2030,129585713.15
2031,129742711.17
2032,129899709.19
2033,130056707.21
2034,130213705.22999999
2035,130370703.24999999
2036,130507965.91999999
2037,130645228.58999999
2038,130782491.25999999
2039,130919753.92999999
2040,131057016.6
2041,130953911.19399999
2042,130850805.78799999
2043,130747700.38199998
2044,130644594.97599998
2045,130541489.56999998
2046,130168266.65199998
2047,129795043.734
2048,129421820.816
2049,129048597.89800002
2050,128675374.98000002
2051,128022219.15
2052,127369063.32000001
2053,126715907.49
2054,126062751.66
2055,125409595.82999998
2056,124762091.85
2057,124114587.86999999
2058,123467083.89
2059,122819579.91
2060,122172075.93
2061,121429217.02000001
2062,120686358.11
2063,119943499.2
2064,119200640.28999999
2065,118457781.38
2066,117814648.16399999
2067,117171514.94799998
2068,116528381.732
2069,115885248.51599999
2070,115242115.29999998
2071,114541519.76399998
2072,113840924.22799999
2073,113140328.69199999
2074,112439733.15599999
2075,111739137.61999999
2076,110961466.26599999
2077,110183794.91199999
2078,109406123.55799998
2079,108628452.20399998
2080,107850780.84999998
2081,107035208.84999998
2082,106219636.84999998
2083,105404064.85
2084,104588492.85
2085,103772920.85
2086,102978904.682
2087,102184888.514
2088,101390872.34599999
2089,100596856.17799999
2090,99802840.00999999
2091,99011955.42199999
2092,98221070.83399999
2093,97430186.24599998
2094,96639301.65799998
2095,95848417.06999998
2096,95130766.18999998
2097,94413115.30999999
2098,93695464.42999999
2099,92977813.55
2100,92260162.67
