year,births
2026,147400149.0
2027,147547770.0
2028,147786528.0
2029,157099444.0
2030,157523193.0
2031,157933797.0
2032,158348563.0
2033,158820419.0
2034,165505527.0
2035,166020774.0
2036,166508461.0
2037,166897131.0
2038,167285326.0
2039,167612283.0
2040,167944805.0
2041,168159281.0
2042,168386609.0
2043,168663435.0
2044,168937922.0
2045,169211816.0
2046,169568231.0
2047,169910447.0
2048,170364604.0
2049,170887663.0
2050,171530515.0
2051,172279199.0
2052,173132255.0
2053,174111413.0
2054,175126286.0
2055,176311462.0
2056,177563469.0
2057,178841148.0
2058,180152836.0
2059,181511486.0
2060,182857728.0
2061,184147501.0
2062,185450547.0
2063,186666837.0
2064,187827717.0
2065,188874989.0
2066,189837622.0
2067,190684412.0
2068,191443515.0
2069,192099440.0
2070,192737530.0
2071,193334249.0
2072,193854695.0
2073,194365476.0
2074,194844999.0
2075,195331830.0
2076,195850755.0
2077,196380425.0
2078,196889920.0
2079,197455115.0
2080,198089634.0
2081,198721433.0
2082,199485631.0
2083,200211085.0
2084,201003053.0
2085,201805991.0
2086,202631492.0
2087,203476213.0
2088,204354323.0
2089,205242658.0
2090,206110583.0
2091,206973425.0
2092,207812789.0
2093,208609081.0
2094,209391184.0
2095,210130640.0
2096,210886168.0
2097,211629877.0
2098,212298569.0
2099,212967249.0
2100,213552614.0
