year,births
2026,117605682.0
2027,117634837.0
2028,117740554.0
2029,108847670.0
2030,108992464.0
2031,109115888.0
2032,109224156.0
2033,109374013.0
2034,103328490.0
2035,103420480.0
2036,103502226.0
2037,103507462.0
2038,103536146.0
2039,103508016.0
2040,103461205.0
2041,103243699.0
2042,102955430.0
2043,102613596.0
2044,102121459.0
2045,101462361.0
2046,100710573.0
2047,99764684.0
2048,98741396.0
2049,97590666.0
2050,96355245.0
2051,95027725.0
2052,93622952.0
2053,92180445.0
2054,90651732.0
2055,89181001.0
2056,87724512.0
2057,86280842.0
2058,84879006.0
2059,83547514.0
2060,82271371.0
2061,81044361.0
2062,79922323.0
2063,78849925.0
2064,77862958.0
2065,76934608.0
2066,76079206.0
2067,75261388.0
2068,74480145.0
2069,73716955.0
2070,73003162.0
2071,72309836.0
2072,71598217.0
2073,70888212.0
2074,70158231.0
2075,69416117.0
2076,68662848.0
2077,67878975.0
2078,67038268.0
2079,66186243.0
2080,65322177.0
2081,64412182.0
2082,63528592.0
2083,62587080.0
2084,61655113.0
2085,60704028.0
2086,59751352.0
2087,58800876.0
2088,57876328.0
2089,56963714.0
2090,56059854.0
2091,55181478.0
2092,54325385.0
2093,53488829.0
2094,52684132.0
2095,51898027.0
2096,51156161.0
2097,50446272.0
2098,49747320.0
2099,49073687.0
2100,48406852.0
