year,births
2026,132503451.0
2027,132590968.0
2028,132761171.0
2029,132988646.0
2030,133256385.0
2031,133513416.0
2032,133764801.0
2033,134065208.0
2034,134381007.0
2035,134669236.0
2036,134945598.0
2037,135140990.0
2038,135355325.0
2039,135515314.0
2040,135668986.0
2041,135672674.0
2042,135635909.0
2043,135580918.0
2044,135406647.0
2045,135108924.0
2046,134763859.0
2047,134270884.0
2048,133752127.0
2049,133163333.0
2050,132555174.0
2051,131922877.0
2052,131280325.0
2053,130666634.0
2054,130019570.0
2055,129484552.0
2056,128994841.0
2057,128530517.0
2058,128109951.0
2059,127754765.0
2060,127431147.0
2061,127116952.0
2062,126876435.0
2063,126634979.0
2064,126429579.0
2065,126218352.0
2066,126019434.0
2067,125793030.0
2068,125546774.0
2069,125259597.0
2070,124986374.0
2071,124696324.0
2072,124348320.0
2073,123981979.0
2074,123572750.0
2075,123139807.0
2076,122692725.0
2077,122209340.0
2078,121660471.0
2079,121106655.0
2080,120554852.0
2081,119954947.0
2082,119411962.0
2083,118804096.0
2084,118220248.0
2085,117622280.0
2086,117028423.0
2087,116442234.0
2088,115886470.0
2089,115345025.0
2090,114804546.0
2091,114283292.0
2092,113772578.0
2093,113262385.0
2094,112772537.0
2095,112282189.0
2096,111830648.0
2097,111397099.0
2098,110941150.0
2099,110500784.0
2100,110028467.0
